Company,ID,Domain,Proposition,,,,,,,,,,,,
Warby Parker   ,@warbyparker,Eyewear   ,modern brand shaping eyewear experiences,,,,,,,,,,,,
Pepperfry    ,@pepperfry_official,Home Decor  ,modern home decor for stylish living,,,,,,,,,,,,
Urban Ladder   ,@urbanladder,Home Decor  ,premium decor elevating everyday interiors,,,,,,,,,,,,
WoodenStreet    ,@woodenstreet,Home Decor  ,art inspired decor for modern spaces,,,,,,,,,,,,
Home Centre India  ,@homecentreindia,Home Decor  ,modern home decor for stylish living,,,,,,,,,,,,
Chumbak    ,@chumbak,Home Decor  ,art inspired decor for modern spaces,,,,,,,,,,,,
The Decor Kart  ,@thedecorkart,Home Decor  ,curated home aesthetics blending craft design,,,,,,,,,,,,
Ellementry    ,@ellementryhome,Home Decor  ,curated home aesthetics blending craft design,,,,,,,,,,,,
Address Home   ,@addresshomedecor,Home Decor  ,designer decor pieces for contemporary homes,,,,,,,,,,,,
Nestasia    ,@nestasia.in,Home Decor  ,modern home decor for stylish living,,,,,,,,,,,,
The Purple Turtles  ,@thepurpleturtles,Home Decor  ,curated home aesthetics blending craft design,,,,,,,,,,,,
The June Shop  ,@thejuneshopindia,Home Decor  ,premium decor elevating everyday interiors,,,,,,,,,,,,
Whispering Homes   ,@whisperinghomes,Home Decor  ,designer decor pieces for contemporary homes,,,,,,,,,,,,
Freedom Tree   ,@freedomtreehome,Home Decor  ,designer decor pieces for contemporary homes,,,,,,,,,,,,
Orange Tree   ,@orangetreehomes,Home Decor  ,art inspired decor for modern spaces,,,,,,,,,,,,
Sarita Handa   ,@saritahanda,Home Decor  ,modern home decor for stylish living,,,,,,,,,,,,
Good Earth   ,@goodearth.us,Home Decor  ,art inspired decor for modern spaces,,,,,,,,,,,,
Jaipur Rugs   ,@jaipurrugs,Home Decor  ,designer decor pieces for contemporary homes,,,,,,,,,,,,
IKEA India   ,@ikea.india,Furniture   ,durable furniture solutions for modern homes,,,,,,,,,,,,
Godrej Interio   ,@godrejinterio,Furniture   ,modern furniture designed for functional living,,,,,,,,,,,,
Durian Furniture   ,@durianforhome,Furniture   ,premium home furniture for contemporary spaces,,,,,,,,,,,,
Nilkamal    ,@nilkamal_ltd,Furniture   ,premium home furniture for contemporary spaces,,,,,,,,,,,,
HomeTown    ,@hometownofficial,Furniture   ,durable furniture solutions for modern homes,,,,,,,,,,,,
Saraf Furniture   ,@saraf_furniture,Furniture   ,modern furniture designed for functional living,,,,,,,,,,,,
Furny    ,@furnyhome,Furniture   ,modern furniture designed for functional living,,,,,,,,,,,,
Alankaram    ,@alankaram.in,Furniture   ,durable furniture solutions for modern homes,,,,,,,,,,,,
Gulmohar Lane   ,@gulmoharlane,Furniture   ,modern furniture designed for functional living,,,,,,,,,,,,
SleepyCat    ,@sleepycat.in,Mattress   ,premium mattresses engineered for deep rest,,,,,,,,,,,,
Sleepwell    ,@officialsleepwell,Mattress   ,sleep technology improving comfort and support,,,,,,,,,,,,
Sunday Mattress   ,@mysundayrest,Mattress   ,advanced sleep systems for modern lifestyles,,,,,,,,,,,,
Emma Sleep   ,@emmasleep.us,Mattress   ,sleep technology improving comfort and support,,,,,,,,,,,,
Kurlon    ,@kurlon_limited,Mattress   ,premium mattresses engineered for deep rest,,,,,,,,,,,,
Peps Mattress   ,@peps_industries,Mattress   ,ergonomic mattresses designed for better sleep,,,,,,,,,,,,
Nilkamal Sleep   ,@nilkamalsleep,Mattress   ,ergonomic mattresses designed for better sleep,,,,,,,,,,,,
Springfit    ,@springfitsleep,Mattress   ,sleep technology improving comfort and support,,,,,,,,,,,,
Repose Mattress   ,@reposeworld,Mattress   ,premium mattresses engineered for deep rest,,,,,,,,,,,,
Restolex    ,@restolexofficial,Mattress   ,advanced sleep systems for modern lifestyles,,,,,,,,,,,,
Sleep Spa   ,@thesleepspa,Mattress   ,sleep technology improving comfort and support,,,,,,,,,,,,
Coirfit Mattress   ,@coirfitmattress,Mattress   ,advanced sleep systems for modern lifestyles,,,,,,,,,,,,
Dreamzee Mattress   ,@dreamzeemattress,Mattress   ,sleep technology improving comfort and support,,,,,,,,,,,,
Wonderchef    ,@wondercheflife,Kitchen & Cookware ,premium cookware for home chefs,,,,,,,,,,,,
The Indus Valley  ,@theindusvalley,Kitchen & Cookware ,reliable cookware crafted for modern kitchens,,,,,,,,,,,,
Rock Tawa   ,@rocktawa,Kitchen & Cookware ,innovative kitchen solutions for daily meals,,,,,,,,,,,,
GreenPan    ,@theoriginalgreenpan,Kitchen & Cookware ,modern kitchen tools for efficient cooking,,,,,,,,,,,,
Prestige Kitchen   ,@prestigekitchen.store,Kitchen & Cookware ,innovative kitchen solutions for daily meals,,,,,,,,,,,,
Bergner India   ,@bergnerindia,Kitchen & Cookware ,premium cookware for home chefs,,,,,,,,,,,,
Milton India   ,@miltonindia,Kitchen & Cookware ,premium cookware for home chefs,,,,,,,,,,,,
Elgi Ultra   ,@elgiultra,Kitchen & Cookware ,reliable cookware crafted for modern kitchens,,,,,,,,,,,,
NutriChef India   ,@nutrichefindia,Kitchen & Cookware ,durable cookware designed for everyday cooking,,,,,,,,,,,,
Solimo    ,@solimoproducts,Kitchen & Cookware ,reliable cookware crafted for modern kitchens,,,,,,,,,,,,
Pondicherry Pottery   ,@pondicherrypottery,Kitchen & Cookware ,premium cookware for home chefs,,,,,,,,,,,,
Wiggles    ,@thewiggles,Pet Care  ,holistic care solutions for beloved pets,,,,,,,,,,,,
Dogsee    ,@dogseechew_usa,Pet Care  ,modern pet care for happier animals,,,,,,,,,,,,
Charlies Choice   ,@charlies.choice,Pet Care  ,trusted pet products for healthy companions,,,,,,,,,,,,
Petsy    ,@petsy.online,Pet Care  ,holistic care solutions for beloved pets,,,,,,,,,,,,
Fur Ball Story  ,@furballstory,Pet Care  ,trusted pet products for healthy companions,,,,,,,,,,,,
Zigly    ,@ziglypetcare,Pet Care  ,trusted pet products for healthy companions,,,,,,,,,,,,
Kennel Kitchen   ,@kennelkitchen,Pet Care  ,modern pet care for happier animals,,,,,,,,,,,,
Mr Paws   ,@mrpawsph,Pet Care  ,quality food and wellness for pets,,,,,,,,,,,,
Himalaya Pet   ,@himalayapetwellness,Pet Care  ,quality food and wellness for pets,,,,,,,,,,,,
Canine India   ,@canine_india,Pet Care  ,premium nutrition and care for pets,,,,,,,,,,,,
Farmina    ,@farminanorthamerica,Pet Care  ,modern pet care for happier animals,,,,,,,,,,,,
Fidele+    ,@fidele.plus,Pet Care  ,modern pet care for happier animals,,,,,,,,,,,,
Pet Fed   ,@petfedindia,Pet Care  ,quality food and wellness for pets,,,,,,,,,,,,
Royal Canin India  ,@royalcanin.india,Pet Care  ,holistic care solutions for beloved pets,,,,,,,,,,,,
Pedigree India   ,@pedigree_india,Pet Care  ,holistic care solutions for beloved pets,,,,,,,,,,,,
Phool    ,@phool.co,Sustainable   ,modern brand shaping sustainable experiences,,,,,,,,,,,,
Bare Necessities   ,@barenecessities,Sustainable   ,modern brand shaping sustainable experiences,,,,,,,,,,,,
Clean Hippie   ,@cleanhippiecbd,Sustainable   ,modern brand shaping sustainable experiences,,,,,,,,,,,,
Saathi Pads   ,@saathipads,Sustainable   ,modern brand shaping sustainable experiences,,,,,,,,,,,,
No Nasties   ,@nonasties.official,Sustainable   ,modern brand shaping sustainable experiences,,,,,,,,,,,,
Loop Activewear   ,@loopactivewear,Sustainable   ,modern brand shaping sustainable experiences,,,,,,,,,,,,
Boheco    ,@bohecoindia,Sustainable   ,modern brand shaping sustainable experiences,,,,,,,,,,,,
Uppercase    ,@uppercasehq,Sustainable   ,modern brand shaping sustainable experiences,,,,,,,,,,,,
Conscious Food   ,@consciousfoodindia,Sustainable   ,modern brand shaping sustainable experiences,,,,,,,,,,,,
Tailor & Circus  ,@_andcircus,Sustainable   ,modern brand shaping sustainable experiences,,,,,,,,,,,,
Scooboo    ,@scooboo.in,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Nappa Dori   ,@nappadori,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
The Papier Project  ,@tppweddings,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Alicia Souza   ,@aliciasouza,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Dot & Dash  ,@usdot,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Staedtler    ,@staedtler,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Flap Jack   ,@flapjack_store,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Leaf Studio   ,@leafstudio.official,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Quill & Crow  ,@kidquill,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Peg & Awl  ,@peg__munson,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Happyness Project   ,@happynesproject_,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Artsy Crafts   ,@artsycraftzz,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Classmate    ,@classmatebyitc,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Paperkraft    ,@paperkraft_itc,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Anu Art Supply  ,@anuartandcraftstore,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Ink Bucket   ,@theinkbucket,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
The Ink Bucket  ,@theinkbucket,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Vivid Scribbles   ,@vividscribbles,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
PropShop24    ,@propshop24,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Inkarto    ,@inkarto_india,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Art Lounge   ,@theartlounge_li,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Piku Art   ,@piku.art,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
The Paper Collective  ,@thepapercollective,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
The Quirky Naari  ,@thequirkynaari,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Brown Paper Lemon  ,@queenslandcreatives,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Ink & Paper  ,@spillmyink,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Write India   ,@writeindia,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Doodle Collection   ,@doodlecollection_official,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
IGP    ,@igpcom,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
Ferns N Petals  ,@fnp_deluxe,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
FlowerAura    ,@flowerauraofficial,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
The Good Road  ,@thegoodroad,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
Giftcart    ,@giftcart,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
Giftpiper    ,@giftpiperdotcom,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
Story of Love  ,@storyoflove_diamonds,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
The June Shop Gifts ,@thejuneshopindia,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
Confetti Gifts   ,@confettigifts.in,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
The Gift Studio  ,@thegiftstudioofficial,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
BoxUp Luxury Gifting  ,@boxup_luxury_gifting,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
Zwende    ,@zwendedesign,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
The Souled Store Gifts ,@thesouledstore,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
The Messy Corner  ,@themessycornerr,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
WrapCart    ,@wrap_cart,Gifting   ,modern brand shaping gifting experiences,,,,,,,,,,,,
Hopscotch    ,@hopscotch.in,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
Nino Bambino   ,@ninobambino.in,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
Little Muffet   ,@little_muffet,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
Miarcus    ,@official_miarcus,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
Zoe & Lila  ,@zoe,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
Tiny Lane   ,@thetinylane,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
Kidsberry    ,@kidsberry.in,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
SuperKids    ,@superkidsresale,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
Lilliput    ,@lilliputrecords,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
Baby Go   ,@_baby__go,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
612 Ivy   ,@612.ivy,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
H&M Kids   ,@heirdash,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
Mom & Me  ,@mom_cbs,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
Flintobox Kids   ,@flintobox,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
HRX    ,@hrxbrand,Activewear   ,performance activewear designed for movement,,,,,,,,,,,,
Performax    ,@performaxactivewear,Activewear   ,high performance gear for athletes,,,,,,,,,,,,
BlissClub    ,@myblissclub,Activewear   ,fitness apparel blending function and style,,,,,,,,,,,,
Athlos    ,@athlos,Activewear   ,performance activewear designed for movement,,,,,,,,,,,,
Alcis Sports   ,@alcissports_delhi,Activewear   ,fitness apparel blending function and style,,,,,,,,,,,,
TechnoSport    ,@technosportindia,Activewear   ,high performance gear for athletes,,,,,,,,,,,,
Adidas    ,@adidas,Activewear   ,performance activewear designed for movement,,,,,,,,,,,,
Puma    ,@puma,Activewear   ,fitness apparel blending function and style,,,,,,,,,,,,
Under Armour   ,@underarmour,Activewear   ,athletic apparel for training and fitness,,,,,,,,,,,,
Reebok    ,@reebok,Activewear   ,performance activewear designed for movement,,,,,,,,,,,,
Decathlon    ,@decathlonusa,Activewear   ,fitness apparel blending function and style,,,,,,,,,,,,
Skechers    ,@skechers,Activewear   ,comfort focused sportswear for active lifestyles,,,,,,,,,,,,
Gymshark    ,@gymshark,Activewear   ,fitness apparel blending function and style,,,,,,,,,,,,
Nobero    ,@noberodotcom,Activewear   ,fitness apparel blending function and style,,,,,,,,,,,,
Freecultr    ,@freecultr,Activewear   ,fitness apparel blending function and style,,,,,,,,,,,,
DaMensch    ,@damenschofficial,Activewear   ,fitness apparel blending function and style,,,,,,,,,,,,
Skybags    ,@inskybags,Travel & Luggage ,premium travel gear for global journeys,,,,,,,,,,,,
Safari    ,@safaribags,Travel & Luggage ,durable luggage designed for modern travelers,,,,,,,,,,,,
Nasher Miles   ,@nasher_miles,Travel & Luggage ,stylish travel bags built for adventure,,,,,,,,,,,,
Carlton Luggage   ,@carlton_luggage,Travel & Luggage ,reliable luggage engineered for mobility,,,,,,,,,,,,
Wildcraft    ,@wildcraftin,Travel & Luggage ,smart luggage solutions for frequent travel,,,,,,,,,,,,
Aristocrat Bags   ,@aristocratbags,Travel & Luggage ,stylish travel bags built for adventure,,,,,,,,,,,,
Tumi    ,@tumitravel,Travel & Luggage ,reliable luggage engineered for mobility,,,,,,,,,,,,
Samsonite    ,@samsoniteusa,Travel & Luggage ,durable luggage designed for modern travelers,,,,,,,,,,,,
Delsey    ,@delseyofficial,Travel & Luggage ,reliable luggage engineered for mobility,,,,,,,,,,,,
Horizn Studios   ,@horiznstudios,Travel & Luggage ,stylish travel bags built for adventure,,,,,,,,,,,,
Bellroy    ,@bellroy,Travel & Luggage ,premium travel gear for global journeys,,,,,,,,,,,,
Herschel Supply   ,@herschelsupply,Travel & Luggage ,premium travel gear for global journeys,,,,,,,,,,,,
Eastpak    ,@eastpak,Travel & Luggage ,durable luggage designed for modern travelers,,,,,,,,,,,,
Fjallraven    ,@fjallravenofficial,Travel & Luggage ,reliable luggage engineered for mobility,,,,,,,,,,,,
Fire-Boltt    ,@fireboltt_,Lifestyle   ,innovative lifestyle tech for modern users,,,,,,,,,,,,
Ambrane    ,@ambraneindia,Lifestyle   ,innovative lifestyle tech for modern users,,,,,,,,,,,,
Zebronics    ,@zebronics,Lifestyle   ,modern lifestyle gadgets enhancing everyday living,,,,,,,,,,,,
Mivi    ,@mivi,Lifestyle   ,modern lifestyle gadgets enhancing everyday living,,,,,,,,,,,,
Crossbeats    ,@crossbeatsind,Lifestyle   ,innovative lifestyle tech for modern users,,,,,,,,,,,,
Skullcandy India   ,@skullcandy_india,Lifestyle   ,consumer tech designed for daily convenience,,,,,,,,,,,,
JBL India   ,@jblindia,Lifestyle   ,modern lifestyle gadgets enhancing everyday living,,,,,,,,,,,,
Sony India   ,@sonyindiaofficial,Lifestyle   ,smart electronics for connected lifestyles,,,,,,,,,,,,
Logitech    ,@logitech,Lifestyle   ,affordable gadgets built for everyday use,,,,,,,,,,,,
Dyson India   ,@dyson_india,Lifestyle   ,modern lifestyle gadgets enhancing everyday living,,,,,,,,,,,,
Philips India   ,@philipsindia,Lifestyle   ,modern lifestyle gadgets enhancing everyday living,,,,,,,,,,,,
Xiaomi India   ,@xiaomiindia,Lifestyle   ,modern lifestyle gadgets enhancing everyday living,,,,,,,,,,,,
OnePlus India   ,@oneplus_india,Lifestyle   ,consumer tech designed for daily convenience,,,,,,,,,,,,
Nothing India   ,@nothingindia,Lifestyle   ,modern lifestyle gadgets enhancing everyday living,,,,,,,,,,,,
Realme India   ,@realmeindia,Lifestyle   ,affordable gadgets built for everyday use,,,,,,,,,,,,
The Souled Store  ,@thesouledstore,D2C Lifestyle  ,modern brand shaping d2c lifestyle experiences,,,,,,,,,,,,
Urban Monkey   ,@urbanmonkeyindia,D2C Lifestyle  ,modern brand shaping d2c lifestyle experiences,,,,,,,,,,,,
Bombay Trooper   ,@bombaytrooper,D2C Lifestyle  ,modern brand shaping d2c lifestyle experiences,,,,,,,,,,,,
Baggit    ,@baggitworld,D2C Lifestyle  ,modern brand shaping d2c lifestyle experiences,,,,,,,,,,,,
Lavie    ,@laviemusic,D2C Lifestyle  ,modern brand shaping d2c lifestyle experiences,,,,,,,,,,,,
Hidesign    ,@hidesignhq,D2C Lifestyle  ,modern brand shaping d2c lifestyle experiences,,,,,,,,,,,,
Fastrack    ,@fastrackworld,D2C Lifestyle  ,modern brand shaping d2c lifestyle experiences,,,,,,,,,,,,
Kapston    ,@kapstonserviceslimited,D2C Lifestyle  ,modern brand shaping d2c lifestyle experiences,,,,,,,,,,,,
Roby & Rossy  ,@roby,D2C Lifestyle  ,modern brand shaping d2c lifestyle experiences,,,,,,,,,,,,
VIP Luggage   ,@viplugguagecenter,D2C Lifestyle  ,modern brand shaping d2c lifestyle experiences,,,,,,,,,,,,
Safari Luggage   ,@safaribags,D2C Lifestyle  ,modern brand shaping d2c lifestyle experiences,,,,,,,,,,,,
The Ordinary   ,@theordinary,Science Skincare  ,lab formulated skincare for real results,,,,,,,,,,,,
Paula's Choice   ,@paulaschoice,Science Skincare  ,clinical ingredient skincare for sensitive skin,,,,,,,,,,,,
CeraVe    ,@cerave,Science Skincare  ,dermatology backed active ingredient skincare,,,,,,,,,,,,
MCaffeine    ,@mcaffeineofficial,Natural Skincare  ,herbal ingredient beauty with modern formulation,,,,,,,,,,,,
L'Oréal Professionnel   ,@lorealpro,Hair Care  ,science driven solutions for hair fall,,,,,,,,,,,,
Maybelline India   ,@maybelline_ind,Makeup   ,trend driven color cosmetics for everyday glam,,,,,,,,,,,,
MAC Cosmetics   ,@maccosmetics,Makeup   ,trend driven color cosmetics for everyday glam,,,,,,,,,,,,
Colgate India   ,@colgatein,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Sensodyne India   ,@sensodyne_in,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Whisper    ,@whisper.ai,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
Sebamed    ,@sebamedusa,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
HealthifyMe    ,@healthifyme,Supplements   ,daily nutrition supplements for holistic wellness,,,,,,,,,,,,
Fast&Up Reload   ,@fastcompany,Supplements   ,daily nutrition supplements for holistic wellness,,,,,,,,,,,,
Baidyanath    ,@baidyanathgroup,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
RiteBite Max Protein  ,@ritebite_maxprotein,Functional Foods  ,clean label snacks with functional benefits,,,,,,,,,,,,
Optimum Nutrition   ,@optimumnutrition,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
Starbucks India   ,@starbucksindia,Coffee   ,modern brand shaping coffee experiences,,,,,,,,,,,,
Tata Tea   ,@tatateapremiumofficial,Tea   ,modern brand shaping tea experiences,,,,,,,,,,,,
Beyond Meat   ,@beyondmeat,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Red Bull India  ,@redbullindia,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
H&M Men   ,@nashirah,Men's Fashion  ,contemporary apparel for confident modern men,,,,,,,,,,,,
Nike    ,@nike,Footwear   ,affordable fashion footwear for daily use,,,,,,,,,,,,
RayBan    ,@rayban,Eyewear   ,modern brand shaping eyewear experiences,,,,,,,,,,,,
Sleepyhead    ,@sleepyheadhq,Mattress   ,ergonomic mattresses designed for better sleep,,,,,,,,,,,,
Pedigree    ,@pedigreeus,Pet Care  ,trusted pet products for healthy companions,,,,,,,,,,,,
Faber-Castell    ,@fabercastellglobal,Stationery   ,modern brand shaping stationery experiences,,,,,,,,,,,,
Carter's India   ,@carters_india,Kidswear   ,modern brand shaping kidswear experiences,,,,,,,,,,,,
Samsonite India   ,@samsoniteindia,Travel   ,modern brand shaping travel experiences,,,,,,,,,,,,
Samsung India   ,@samsungindia,Lifestyle   ,modern lifestyle gadgets enhancing everyday living,,,,,,,,,,,,
DailyObjects    ,@dailyobjects_official,D2C Lifestyle  ,modern brand shaping d2c lifestyle experiences,,,,,,,,,,,,
Some By Mi  ,@somebymi,Science Skincare  ,science driven acne and barrier repair,,,,,,,,,,,,
Beauty of Joseon  ,@beautyofjoseon_official,Science Skincare  ,clinical ingredient skincare for sensitive skin,,,,,,,,,,,,
Skin1004    ,@skin1004official,Science Skincare  ,clinical ingredient skincare for sensitive skin,,,,,,,,,,,,
Benton    ,@bentoncosmetic,Science Skincare  ,science driven acne and barrier repair,,,,,,,,,,,,
Klairs    ,@klairs.global,Science Skincare  ,lab formulated skincare for real results,,,,,,,,,,,,
Bioderma India   ,@biodermaindia,Science Skincare  ,clinical ingredient skincare for sensitive skin,,,,,,,,,,,,
La Roche-Posay India  ,@larocheposay,Science Skincare  ,lab formulated skincare for real results,,,,,,,,,,,,
Axis-Y    ,@axisy_official,Science Skincare  ,clinical skincare powered by proven actives,,,,,,,,,,,,
Torriden    ,@torriden,Science Skincare  ,science driven acne and barrier repair,,,,,,,,,,,,
Bella Vita Organic  ,@bellavita_organic,Natural Skincare  ,clean botanical skincare rooted in nature,,,,,,,,,,,,
The Body Shop India ,@thebodyshopindia,Natural Skincare  ,clean botanical skincare rooted in nature,,,,,,,,,,,,
Tvam    ,@_tvam,Natural Skincare  ,plant powered skincare for everyday glow,,,,,,,,,,,,
Nat Habit   ,@nathabit.in,Natural Skincare  ,natural toxin free skincare essentials,,,,,,,,,,,,
Vaadi Herbals   ,@vaadiherbal,Natural Skincare  ,ayurvedic inspired clean beauty rituals,,,,,,,,,,,,
Himalaya Face Care  ,@himalaya_facecare,Natural Skincare  ,ayurvedic inspired clean beauty rituals,,,,,,,,,,,,
O3+    ,@o3world,Natural Skincare  ,ayurvedic inspired clean beauty rituals,,,,,,,,,,,,
Vedix    ,@vedix_usa,Hair Care  ,salon inspired haircare for stronger hair,,,,,,,,,,,,
Curlvana    ,@curlvanalife,Hair Care  ,science driven solutions for hair fall,,,,,,,,,,,,
Streax    ,@streaxprofessional,Hair Care  ,salon inspired haircare for stronger hair,,,,,,,,,,,,
Parachute Advansed   ,@parachute_advansed,Hair Care  ,curl care and scalp focused treatments,,,,,,,,,,,,
Head & Shoulders India ,@head_tennis,Hair Care  ,targeted hair repair and scalp health,,,,,,,,,,,,
Pantene India   ,@pantene_india,Hair Care  ,salon inspired haircare for stronger hair,,,,,,,,,,,,
Clinic Plus   ,@clinicplusindia,Hair Care  ,salon inspired haircare for stronger hair,,,,,,,,,,,,
MARS Cosmetics   ,@reachedmars,Makeup   ,high performance makeup for long wear,,,,,,,,,,,,
Blue Heaven   ,@keywestblueheaven,Makeup   ,high performance makeup for long wear,,,,,,,,,,,,
Bobbi Brown India  ,@bobbibrownindia,Makeup   ,high performance makeup for long wear,,,,,,,,,,,,
Wet n Wild India ,@wetnwildindia,Makeup   ,high performance makeup for long wear,,,,,,,,,,,,
Dabur Red   ,@daburredofficial,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Oral-B India   ,@oralbindia,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Meswak (Dabur)   ,@dabur.meswak,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Mirai Me   ,@mirai.me,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
Impower    ,@impowerus,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
Namyaa    ,@namyaaofficial,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
That Sassy Thing  ,@thatsassythingdotcom,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
Sanfe    ,@sanfeindia,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
iMoise    ,@imoise,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
Shycart    ,@shycart,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
ThatsPersonal    ,@thatspersonalofficial,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
Pampers India   ,@pampersindia,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Huggies India   ,@huggiesin,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Pigeon India   ,@pigeon_india,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Graco India   ,@gracopaintsprayers_india,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Amway Nutrilite   ,@nutrilite,Supplements   ,clean supplements supporting everyday health,,,,,,,,,,,,
Herbalife India   ,@herbalifeindiaofficial,Supplements   ,daily nutrition supplements for holistic wellness,,,,,,,,,,,,
Ensure India   ,@ensureindia,Supplements   ,clean supplements supporting everyday health,,,,,,,,,,,,
Centrum India   ,@centrum_india,Supplements   ,daily nutrition supplements for holistic wellness,,,,,,,,,,,,
Protinex    ,@protinexin,Supplements   ,science backed vitamins for modern lifestyles,,,,,,,,,,,,
TrueBasics    ,@truebasics_in,Supplements   ,functional nutrition designed for active living,,,,,,,,,,,,
Kairali Ayurveda   ,@kairali_ayurveda_raipur,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
